"","FACILITY_description","latitude","longitude"
"73","LAKE C.I.",28.622187,-81.764633
"74","SAGO PALM RE-ENTRY C",26.8416,-80.635647
"75","OKALOOSA WORK CAMP",30.695245,-86.524084
"76","REENTRY CTR OF OCALA",29.20721,-82.128543
"77","PUTNAM C.I.",29.645367,-81.588631
"78","SUMTER WORK CAMP",28.613802,-82.20434
"79","UNION WORK CAMP",30.068842,-82.187999
"80","EVERGLADES RE-ENTRY",25.750469,-80.494234
"81","LOWELL C.I.",29.31338,-82.198354
"82","MARTIN WORK CAMP",27.20404,-80.482291
"83","SUNCOAST C.R.C.(FEM)",27.916939,-82.713633
"84","BRIDGES OF SANTA FE",29.683107,-82.286089
"85","CENTRAL OFFICE",30.436801,-84.278833
"86","LANCASTER W.C.",29.610394,-82.864702
"87","POLK WORK CAMP",28.191201,-81.784866
"88","MARION WORK CAMP",29.304195,-82.180558
"89","TTH OF KISSIMMEE",28.304325,-81.395766
"90","CENTURY WORK CAMP",30.957117,-87.299687
"91","ORLANDO BRIDGE",28.57036,-81.427112
"92","TTH OF BARTOW",27.901292,-81.822352
"93","TTH OF DINSMORE",30.473982,-81.786344
"94","HOLMES WORK CAMP",30.758486,-85.669548
"95","BRIDGES OF JACKSONVI",30.330745,-81.748888
"96","LARGO R.P.",27.895183,-82.705675
"97","CROSS CITY WORK CAMP",29.634494,-83.097094
"98","JACKSONVILLE BRIDGE",30.330833,-81.749002
"99","BRIDGES OF LAKE CITY",30.195326,-82.654765
"100","KISSIMMEE C.R.C.",28.334525,-81.38914
"101","BRIDGES OF ORLANDO",28.568917,-81.430564
"102","REALITY HOUSE",29.146351,-81.121415
"103","TALLAHASSEE C.R.C",30.408036,-84.305582
"104","MADISON WORK CAMP",30.443386,-83.42413
"105","PENSACOLA C.R.C.",30.443029,-87.235639
"106","LOXAHATCHEE R.P.",26.683228,-80.192911
"107","W.PALM BEACH C.R.C.",26.68297,-80.19254
"108","TOMOKA CRC",29.139586,-81.129397
"109","HOMESTEAD C.I.",25.413715,-80.498638
"110","BRADENTON BRIDGE",27.429006,-82.538233
"111","SHISA HOUSE WEST",30.44578,-84.28643
"112","MTC-MIAMI NORTH CRC",25.811071,-80.311697
"113","HOLLYWOOD C.R.C.",26.002966,-80.256346
"114","TFF-Ft. PIERCE CRC",27.395458,-80.336319
"115","BRIDGES OF COCOA",28.446165,-80.775021
"116","TURNING POINT C.R.C",26.22951,-80.129956
"117","WALTON WORK CAMP",30.779013,-86.108974
"118","MTC-PANAMA CITY CRC",30.213297,-85.67172
"119","OPA LOCKA C.R.C.",25.897424,-80.289881
"120","TTH OF TARPON SPRING",28.167552,-82.768745
"121","ORLANDO C.R.C.",28.567109,-81.480357
"122","ATLANTIC C.R.C.",26.682732,-80.192567
"123","NEW RIVER CI",30.061097,-82.178102
"124","JACKSON WORK CAMP",30.968881,-85.163144
